symbol,sector_group,longName,sector,industry,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,trailingEps,forwardEps,dividendYield,profitMargins,returnOnEquity,debtToEquity,totalRevenue,netIncomeToCommon,totalCash,totalDebt
AAPL,technology,Apple Inc.,Technology,Consumer Electronics,4376979046400,4393182953472,36.122425,31.058918,41.04821,8.25,9.59499,0.36,0.27152002,1.4147099,79.548,451442016256,122575003648,68507000832,84710998016
MSFT,technology,Microsoft Corporation,Technology,Software - Infrastructure,2818348154880,2865552162816,22.569899,19.611391,6.802087,16.81,19.3459,0.96,0.39341998,0.34013999,30.271,318272995328,125215997952,78227996672,125431996416
NVDA,technology,NVIDIA Corporation,Technology,Semiconductors,5103122644992,5058340061184,32.26493,16.554375,26.107807,6.53,12.72715,0.47,0.62966,1.14288,6.555,253491003392,159612993536,53171998720,12814000128
INTC,technology,Intel Corporation,Technology,Semiconductors,673433780224,699270758400,,86.69855,6.0418453,-0.6,1.54547,,-0.05904,-0.02911,36.028,53762998272,-3174000128,32789000192,45030998016
CRM,technology,"Salesforce, Inc.",Technology,Software - Application,124307816448,155018821632,17.56713,9.767983,3.6310136,8.64,15.53852,1.16,0.18733,0.16908,124.282,42829000704,8023000064,11836999680,42547998720
JPM,finance,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,871430684672,630334685184,15.575671,13.800566,2.5332804,20.88,23.5657,1.84,0.33936,0.16465001,,173559005184,57512001536,1582246002688,1321104965632
BAC,finance,Bank of America Corporation,Financial Services,Banks - Diversified,398828404736,372440399872,13.945409,11.126114,1.4535484,4.03,5.05118,1.99,0.28956,0.10644,,109590003712,30256001024,851284983808,799901024256
GS,finance,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,323493363712,48330747904,20.039474,16.714497,3.0778818,54.72,65.60533,1.64,0.29363,0.14548,678.596,61532999680,17064999936,1142199943168,839667023872
V,finance,Visa Inc.,Financial Services,Credit Services,622326579200,627254820864,28.480417,22.015978,17.55391,11.49,14.86375,0.82,0.51679003,0.60349,67.233,43027001344,22033000448,13912999936,23975999488
PYPL,finance,"PayPal Holdings, Inc.",Financial Services,Credit Services,37498302464,39826305024,7.97561,7.382579,1.8937098,5.33,5.75815,1.32,0.14997,0.25120002,58.28,33734000640,5058999808,9342000128,11669999616
LLY,healthcare,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,979640254464,1017728335872,38.997868,24.711899,31.462324,28.17,44.4551,0.63,0.34986,1.07459,139.015,72248999936,25276999680,5281999872,43370000384
JNJ,healthcare,Johnson & Johnson,Healthcare,Drug Manufacturers - General,549784256512,582720290816,26.464657,17.958944,6.77012,8.63,12.71734,2.35,0.21834,0.26416,67.73,96361996288,21040001024,22051000320,54987001856
UNH,healthcare,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,364129550336,418255568896,30.215523,19.156704,3.7195497,13.27,20.93053,2.31,0.02678,0.121759996,73.982,449713012736,12044000256,31228999680,77917003776
PFE,healthcare,Pfizer Inc.,Healthcare,Drug Manufacturers - General,143682977792,195635986432,19.244274,8.910677,1.5945603,1.31,2.82919,6.82,0.118310004,0.083100006,71.602,63315001344,7479000064,13080999936,64731000832
TMO,healthcare,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,172659048448,212692041728,25.514004,17.050484,3.2729156,18.21,27.24908,0.4,0.15151,0.13523,82.903,45197000704,6848000000,3256000000,43161001984
AMZN,consumer,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2628929978368,2721381089280,31.656736,24.786106,5.947242,7.72,9.85996,,0.12224,0.24285,53.3,742775980032,90797998080,143088992256,235540004864
TSLA,consumer,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1504129843200,1475962863616,370.82404,160.1992,18.28972,1.08,2.49995,,0.03946,0.04901,18.738,97878999040,3862000128,44743000064,15889999872
WMT,consumer,Walmart Inc.,Consumer Defensive,Discount Stores,932527669248,1003988713472,41.260563,35.638035,9.37365,2.84,3.28806,0.84,0.03135,0.24132,74.816,725304999936,22735998976,10728999936,75545001984
NKE,consumer,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,66936094720,70057091072,29.736843,24.892061,4.747899,1.52,1.81584,3.63,0.04836,0.16016,79.333,46522998784,2249999872,8056999936,11178000384
KO,consumer,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,341574090752,374502064128,24.965408,22.790428,10.15737,3.18,3.48348,2.67,0.278,0.43372002,124.943,49284001792,13701000192,13820000256,44646998016
CAT,industrial_energy,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,454060769280,493854195712,49.02138,32.75254,24.334625,20.11,30.09904,0.66,0.13328,0.51331,230.793,70755000320,9429999616,3316000000,43065999360
GE,industrial_energy,GE Aerospace,Industrials,Aerospace & Defense,373672869888,384119144448,44.42733,41.17246,20.664473,8.05,8.68639,0.53,0.17863001,0.45428002,116.527,48312999936,8563999744,10581000192,21321000960
BA,industrial_energy,The Boeing Company,Industrials,Aerospace & Defense,175570698240,205012697088,87.68504,53.264076,29.340008,2.54,4.18143,,0.024600001,1.69947,828.696,92184002560,1922000000,20177999872,49614000128
XOM,industrial_energy,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,571215183872,617056174080,23.200336,12.934332,2.2202709,5.94,10.65459,2.99,0.077649996,0.09873,18.261,326008012800,25314000896,8434999808,47660998656
CVX,industrial_energy,Chevron Corporation,Energy,Oil & Gas Integrated,345801129984,389098110976,30.196522,13.81663,1.8688784,5.75,12.56674,4.1,0.059270002,0.06638,23.989,185740001280,11009000448,5327000064,45427998720
GOOGL,communication_utilities,Alphabet Inc.,Communication Services,Internet Content & Information,4490912595968,4428087689216,28.093893,25.415365,9.313914,13.1,14.48061,0.24,0.37919,0.38884997,20.026,422498009088,160207994880,126839996416,95875997696
META,communication_utilities,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1465228591104,1470817763328,21.005095,15.925084,6.0118937,27.48,36.24596,0.36,0.32837,0.32930002,35.608,214962995200,70586998784,81180000256,86769000448
DIS,communication_utilities,The Walt Disney Company,Communication Services,Entertainment,180406173696,228686168064,16.6224,13.857894,1.6676565,6.25,7.49681,1.44,0.1154,0.1101,41.069,97263001600,11224000512,5681999872,47358001152
T,communication_utilities,AT&T Inc.,Communication Services,Telecom Services,152932941824,318681939968,7.240132,8.636588,1.3979042,3.04,2.54846,5.04,0.16938,0.18370001,125.175,126527995904,21325000704,11964000256,159750995968
NEE,communication_utilities,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,180926267392,294718373888,22.017767,19.725279,3.2759335,3.94,4.39791,2.87,0.29369,0.10325,156.686,27865999360,8184000000,1998000000,104403001344
