symbol,sector_group,start_date,end_date,start_adj_close,end_adj_close,return_1y,performance_group
CRM,technology,2025-06-20,2026-06-18,258.4425964355469,151.77999877929688,-0.4127129162427009,down
PYPL,finance,2025-06-20,2026-06-18,69.44854736328125,42.5099983215332,-0.387892188742755,down
NKE,consumer,2025-06-20,2026-06-18,58.1931266784668,45.20000076293945,-0.22327595468994088,down
MSFT,technology,2025-06-20,2026-06-18,473.6169738769531,379.3999938964844,-0.1989307503259935,down
T,communication_utilities,2025-06-20,2026-06-18,26.60869026184082,22.010000228881836,-0.17282662121682502,down
META,communication_utilities,2025-06-20,2026-06-18,680.120849609375,577.219970703125,-0.1512979332501727,down
DIS,communication_utilities,2025-06-20,2026-06-18,116.34334564208984,103.88999938964844,-0.10703960921625866,down
V,finance,2025-06-20,2026-06-18,335.9166564941406,327.239990234375,-0.025829818474383925,down
BA,industrial_energy,2025-06-20,2026-06-18,198.75,222.72000122070312,0.12060377972680825,down
PFE,healthcare,2025-06-20,2026-06-18,22.404354095458984,25.209999084472656,0.12522766677671515,down
AMZN,consumer,2025-06-20,2026-06-18,209.69000244140625,244.38999938964844,0.16548236226921897,stable
TMO,healthcare,2025-06-20,2026-06-18,396.43475341796875,464.6099853515625,0.17197087628116026,stable
KO,consumer,2025-06-20,2026-06-18,66.944091796875,79.38999938964844,0.18591495169637096,stable
JPM,finance,2025-06-20,2026-06-18,269.7538146972656,325.2200012207031,0.205617802238256,stable
CVX,industrial_energy,2025-06-20,2026-06-18,143.5382080078125,173.6300048828125,0.20964311379282496,stable
WMT,consumer,2025-06-20,2026-06-18,95.3230209350586,117.18000030517578,0.22929381754495437,stable
XOM,industrial_energy,2025-06-20,2026-06-18,111.15674591064453,137.80999755859375,0.239780783699578,stable
TSLA,consumer,2025-06-20,2026-06-18,322.1600036621094,400.489990234375,0.2431400101870509,stable
NEE,communication_utilities,2025-06-20,2026-06-18,69.51702880859375,86.75,0.24789568091086056,stable
BAC,finance,2025-06-20,2026-06-18,44.52998352050781,56.20000076293945,0.26207099845561665,stable
UNH,healthcare,2025-06-20,2026-06-18,294.1325988769531,400.9599914550781,0.363194671335342,up
LLY,healthcare,2025-06-20,2026-06-18,757.3722534179688,1098.5699462890625,0.4505019709017488,up
NVDA,technology,2025-06-20,2026-06-18,143.65866088867188,210.69000244140625,0.46660146445803385,up
AAPL,technology,2025-06-20,2026-06-18,200.20574951171875,298.010009765625,0.48851873880965346,up
GE,industrial_energy,2025-06-20,2026-06-18,238.10968017578125,357.6400146484375,0.5019969552872214,up
JNJ,healthcare,2025-06-20,2026-06-18,146.1385498046875,228.38999938964844,0.5628319816700593,up
GS,finance,2025-06-20,2026-06-18,628.1549072265625,1096.56005859375,0.7456841393396032,up
GOOGL,communication_utilities,2025-06-20,2026-06-18,166.1659698486328,368.0299987792969,1.2148337539542546,up
CAT,industrial_energy,2025-06-20,2026-06-18,356.65997314453125,985.8200073242188,1.764033201238227,up
INTC,technology,2025-06-20,2026-06-18,21.079999923706055,133.99000549316406,5.356262143174022,up
